Date,Mob,Rt
20200101,-0.033926489,NA
20200102,0.027837533,NA
20200103,0.056627946,NA
20200104,-0.046448516,NA
20200105,-0.092524535,NA
20200106,0.018637991,NA
20200107,0.018685578,NA
20200108,-0.029792595,NA
20200109,0.030390814,NA
20200110,0.046499302,3.2947612
20200111,-0.03932585,2.9938466
20200112,-0.062010857,3.9379366
20200113,0.056748919,3.3193436
20200114,0.048600758,3.6639069
20200115,0.036984926,3.1535653
20200116,0.056293629,2.7920989
20200117,0.060617668,2.5406555
20200118,-0.03085152,2.3265804
20200119,-0.11905511,2.2321997
20200120,0.05649779,2.1257824
20200121,0.037112139,2.0456321
20200122,0.019252602,1.9937926
20200123,-0.042761647,1.8984813
20200124,-0.195136351,1.7719643
20200125,-0.308401076,1.6853725
20200126,-0.316255908,1.552172
20200127,-0.397164461,1.4877977
20200128,-0.444317654,1.3816432
20200129,-0.466264451,1.3011362
20200130,-0.486090103,1.6426018
20200131,-0.50420639,1.5301299
20200201,-0.522511768,1.383351
20200202,-0.547426307,1.2659029
20200203,-0.525673817,1.1841742
20200204,-0.549706691,1.1143708
20200205,-0.566144551,1.0486077
20200206,-0.586125361,0.9794098
20200207,-0.575356679,0.9322177
20200208,-0.592636797,0.898221
20200209,-0.595646155,0.8757893
20200210,-0.539514077,0.8422252
20200211,-0.549443203,0.8250311
20200212,-0.490580235,0.8183416
20200213,-0.535818292,0.4860063
20200214,-0.482552725,0.4304704
20200215,-0.584679843,0.4242118
20200216,-0.580720301,0.4304523
20200217,-0.422332781,0.4114244
20200218,-0.433850881,0.3843835
20200219,-0.470819103,0.3476469
20200220,-0.452141913,0.3657581
20200221,-0.424819678,0.3941552
20200222,-0.454059063,0.370038
20200223,-0.448400004,0.3678752
20200224,-0.334921999,0.3738394
20200225,-0.332677496,0.3660556
20200226,-0.322891827,0.363292
